date|time|description|vendor|amount
2022-01-02|19:21:08|Cloud Storage|Costco|-290.75
2022-01-03|17:10:34|Commute|Adobe|-332.91
2022-01-06|17:46:19|Cash Deposit|Dividend Payment|3328.9
2022-01-08|08:47:58|Software License|McDonalds|-280.64
2022-01-10|02:35:37|Reimbursement|Tax Refund|4920.3
2022-01-11|15:12:27|Office Supplies|Costco|-79.76
2022-01-12|17:53:50|Cloud Storage|Target|-49.15
2022-01-13|15:46:16|Quarterly Bonus|Bonus Payout|1891.24
2022-01-13|20:24:57|Fuel|Starbucks|-299.77
2022-01-16|17:55:24|Investment Return|Bonus Payout|1930.9
2022-01-17|06:43:03|Quarterly Bonus|Interest Credit|1535.7
2022-01-18|09:36:36|Cloud Storage|Best Buy|-87.71
2022-01-18|22:00:00|Fuel|Target|-475.9
2022-01-22|07:49:47|Office Supplies|Starbucks|-63.74
2022-01-24|03:50:11|Groceries|Home Depot|-479.67
2022-01-24|20:42:40|Commute|Shell|-83.78
2022-01-25|14:48:27|Dinner|Target|-312.63
2022-01-25|20:35:15|Commute|Netflix|-484.85
2022-01-28|14:56:32|Office Supplies|Apple|-166.86
2022-01-31|01:54:28|Fuel|McDonalds|-164.8
2022-02-01|11:33:28|Hardware Upgrade|Apple|-90.71
2022-02-01|23:25:58|Reimbursement|Bonus Payout|1758.16
2022-02-04|16:12:49|Bi-weekly Salary|Tax Refund|3734.03
2022-02-05|13:55:43|Office Supplies|Adobe|-405.54
2022-02-06|09:36:52|Bi-weekly Salary|Vertex Logistics|3350.48
2022-02-08|19:45:43|Commute|Netflix|-436.22
2022-02-10|08:39:01|Hardware Upgrade|Uber|-68.53
2022-02-11|12:37:33|Investment Return|Dividend Payment|3234.2
2022-02-13|02:10:31|Cloud Storage|Costco|-138.79
2022-02-17|22:13:38|Cloud Storage|Netflix|-212.43
2022-02-19|18:27:15|Coffee|Uber|-297.87
2022-02-22|01:30:22|Invoice Paid|Tax Refund|644.5
2022-02-23|00:37:24|Coffee|Amazon|-239.3
2022-02-24|15:34:08|Invoice Paid|Freelance Work|4741.91
2022-02-24|15:38:33|Commute|Apple|-200.41
2022-02-25|03:51:49|Commute|Netflix|-157.3
2022-02-25|09:51:03|Invoice Paid|Interest Credit|1490.17
2022-02-25|16:18:09|Dinner|Starbucks|-52.53
2022-03-01|10:07:05|Contract Milestone|Rental Income|4469.71
2022-03-02|21:25:18|Dinner|Target|-337.73
2022-03-03|09:07:00|Software License|Home Depot|-374.33
2022-03-04|03:08:32|Fuel|Target|-110.05
2022-03-12|00:59:55|Fuel|Apple|-67.88
2022-03-12|02:19:14|Fuel|McDonalds|-7.04
2022-03-12|11:45:53|Reimbursement|Interest Credit|4419.04
2022-03-15|03:27:36|Software License|Starbucks|-318.44
2022-03-15|13:18:15|Commute|Shell|-54.49
2022-03-15|18:57:03|Bi-weekly Salary|Tax Refund|4829.45
2022-03-16|13:26:27|Monthly Subscription|Steam|-102.56
2022-03-20|09:35:33|Monthly Subscription|Netflix|-296.44
